8.000000e+00,0.000000e+00,8.245633e-05,6.923566e-05,4.748700e-05,3.748784e-06,1.434584e-04,1.291767e-06,7.730227e-05,6.187371e-05,5.637485e-05,4.872827e-05,1.987887e-04,1.753243e-03,6.296599e-05,5.804435e-04,6.821313e-04,1.538942e-03,1.751057e-03,3.620145e-04,9.305931e-04,4.547851e-04,4.201968e-04,3.763976e-03,5.913844e-04,1.394016e-04,8.836287e-06,0.000000e+00 (1),0.000000e+00 (3),0.000000e+00 (4),0.000000e+00 (5),0.000000e+00 (6),0.000000e+00 (7),0.000000e+00 (8),0.000000e+00 (9),0.000000e+00 (10),0.000000e+00 (11),0.000000e+00 (12),0.000000e+00 (13),0.000000e+00 (14),0.000000e+00 (15),0.000000e+00 (16),0.000000e+00 (17),0.000000e+00 (18),0.000000e+00 (19),0.000000e+00 (20),0.000000e+00 (21),0.000000e+00 (22),0.000000e+00 (23),0.000000e+00 (24),0.000000e+00 (25),0.000000e+00 (26),0.000000e+00 (27),0.000000e+00 (28),0.000000e+00 (29),0.000000e+00 (30),0.000000e+00 (31),0.000000e+00 (32),0.000000e+00 (33),0.000000e+00 (34),0.000000e+00 (35),0.000000e+00 (36),0.000000e+00 (37),0.000000e+00 (38),0.000000e+00 (39),0.000000e+00 (40),0.000000e+00 (41),0.000000e+00 (42),0.000000e+00 (43),0.000000e+00 (44),0.000000e+00 (45),0.000000e+00 (46),0.000000e+00 (47),0.000000e+00 (48),0.000000e+00 (49),0.000000e+00 (50),0.000000e+00 (51),0.000000e+00 (52),0.000000e+00 (53),0.000000e+00 (54),0.000000e+00 (55),0.000000e+00 (56),0.000000e+00 (57),0.000000e+00 (58),0.000000e+00 (59),0.000000e+00 (60),0.000000e+00 (61),0.000000e+00 (62),0.000000e+00 (63),0.000000e+00 (64),0.000000e+00 (66),0.000000e+00 (67),0.000000e+00 (68),0.000000e+00 (69),0.000000e+00 (70),0.000000e+00 (71),0.000000e+00 (72),0.000000e+00 (73),0.000000e+00 (74),0.000000e+00 (75),0.000000e+00 (76),0.000000e+00 (77),0.000000e+00 (78),0.000000e+00 (79),0.000000e+00 (80),0.000000e+00 (81),0.000000e+00 (82),0.000000e+00 (83),0.000000e+00 (84),0.000000e+00 (85),0.000000e+00 (86),0.000000e+00 (87),0.000000e+00 (88),0.000000e+00 (89),3.714286e-01,3.689320e-01,2.857143e-01,5.301205e-01,3.500000e-01,0.000000e+00 (90),0.000000e+00 (91),0.000000e+00 (92),0.000000e+00 (93),0.000000e+00 (94),0.000000e+00 (95),0.000000e+00 (96),0.000000e+00 (97),0.000000e+00 (98),0.000000e+00 (99),0.000000e+00 (100),0.000000e+00 (101),0.000000e+00 (102),0.000000e+00 (103),Partition,$XS1-8.000000e+00,$XSC1-8.000000e+00
8.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.000,0.003,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.971,0.718,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1_Training,8.000,1.000
2.000,0.028,0.244,0.846,0.137,0.073,0.422,0.220,0.192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1_Training,2.000,0.832
10.000,0.111,0.203,0.385,0.113,0.120,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.157,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1_Training,10.000,0.831
10.000,0.020,0.374,1.000,0.062,0.017,0.159,0.193,0.013,0.230,0.138,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.143,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1_Training,10.000,0.755
4.000,0.090,0.176,0.539,0.178,0.200,0.240,0.192,0.132,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.214,0.301,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1_Training,4.000,0.665
7.000,0.206,0.187,0.260,0.030,0.089,0.433,0.067,0.211,0.109,0.019,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.200,0.243,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1_Training,7.000,0.837
9.000,0.048,0.773,0.271,0.121,0.057,0.050,1.000,0.028,0.500,0.177,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1_Training,9.000,0.813
10.000,0.018,0.005,0.057,0.012,0.006,0.010,0.045,0.045,0.015,0.004,0.007,0.015,0.045,0.002,0.086,0.046,0.070,0.089,0.055,0.016,0.054,0.062,0.062,0.032,0.076,0.178,0.207,0.360,0.255,0.086,0.070,0.017,0.377,0.168,0.019,0.155,0.022,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.371,0.350,0.385,0.693,0.475,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1_Training,10.000,0.834
6.000,0.000,0.002,0.007,0.002,0.001,0.003,0.004,0.003,0.000,0.001,0.001,0.001,0.002,0.005,0.002,0.000,0.005,0.013,0.014,0.003,0.001,0.003,0.006,0.002,0.002,0.012,0.005,0.006,0.009,0.004,0.003,0.008,0.003,0.006,0.013,0.035,0.038,0.004,0.005,0.015,0.006,0.006,0.016,0.003,0.023,0.027,0.039,0.015,0.035,0.040,0.056,0.015,0.014,0.009,0.007,0.010,0.024,0.002,0.001,0.014,0.033,0.026,0.049,0.045,0.035,0.001,0.015,0.096,0.012,0.009,0.037,0.030,0.044,0.061,0.013,0.001,0.038,0.104,0.079,0.022,0.010,0.001,0.005,0.013,0.010,0.001,0.115,0.181,0.135,0.003,0.024,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.286,0.408,0.317,0.361,0.525,0.643,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1_Training,6.000,0.863
5.000,0.009,0.116,0.100,0.063,0.008,0.125,0.151,0.027,0.075,0.093,0.603,0.545,0.271,1.000,0.172,0.099,0.464,0.229,0.004,0.043,0.021,0.066,0.431,0.104,0.159,0.731,1.000,0.571,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.529,0.495,0.609,0.639,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1_Training,5.000,0.828
